fra,date_de_passage,sursaud_cl_age_corona,nbre_pass_corona,nbre_pass_tot,nbre_hospit_corona,nbre_pass_corona_h,nbre_pass_corona_f,nbre_pass_tot_h,nbre_pass_tot_f,nbre_hospit_corona_h,nbre_hospit_corona_f,nbre_acte_corona,nbre_acte_tot,nbre_acte_corona_h,nbre_acte_corona_f,nbre_acte_tot_h,nbre_acte_tot_f
FR,2020-04-22,A,28.00,3503.00,7.00,,,,,,,34.00,722.00,,,,
FR,2020-04-22,B,570.00,8576.00,104.00,,,,,,,198.00,2084.00,,,,
FR,2020-04-22,C,464.00,5715.00,152.00,,,,,,,86.00,1031.00,,,,
FR,2020-04-22,D,174.00,2582.00,105.00,,,,,,,29.00,416.00,,,,
FR,2020-04-22,E,351.00,4506.00,284.00,,,,,,,48.00,832.00,,,,
FR,2020-04-23,0,1742.00,25818.00,644.00,728.00,1014.00,13120.00,12694.00,323.00,321.00,322.00,4812.00,147.00,174.00,2039.00,2770.00
FR,2020-04-23,A,40.00,3730.00,12.00,,,,,,,15.00,727.00,,,,
FR,2020-04-23,B,638.00,8816.00,92.00,,,,,,,172.00,1965.00,,,,
FR,2020-04-23,C,481.00,5968.00,125.00,,,,,,,70.00,935.00,,,,
FR,2020-04-23,D,181.00,2653.00,108.00,,,,,,,26.00,416.00,,,,
FR,2020-04-23,E,402.00,4651.00,307.00,,,,,,,39.00,757.00,,,,
FR,2020-04-24,0,1593.00,26529.00,633.00,685.00,908.00,13479.00,13048.00,299.00,334.00,337.00,4987.00,137.00,200.00,2082.00,2904.00
FR,2020-04-24,A,38.00,3823.00,11.00,,,,,,,24.00,799.00,,,,
FR,2020-04-24,B,538.00,8894.00,84.00,,,,,,,182.00,1971.00,,,,
FR,2020-04-24,C,422.00,6065.00,131.00,,,,,,,65.00,1015.00,,,,
FR,2020-04-24,D,181.00,2828.00,112.00,,,,,,,32.00,393.00,,,,
FR,2020-04-24,E,414.00,4919.00,295.00,,,,,,,34.00,792.00,,,,
FR,2020-04-25,0,1109.00,25909.00,460.00,541.00,568.00,13546.00,12357.00,237.00,223.00,396.00,7201.00,163.00,232.00,2970.00,4216.00
FR,2020-04-25,A,25.00,4104.00,9.00,,,,,,,35.00,1284.00,,,,
FR,2020-04-25,B,376.00,9205.00,72.00,,,,,,,200.00,2777.00,,,,
FR,2020-04-25,C,330.00,5830.00,101.00,,,,,,,89.00,1416.00,,,,
FR,2020-04-25,D,132.00,2538.00,85.00,,,,,,,25.00,551.00,,,,
FR,2020-04-25,E,246.00,4231.00,193.00,,,,,,,45.00,1156.00,,,,
FR,2020-04-26,0,772.00,22396.00,408.00,361.00,411.00,11598.00,10792.00,210.00,198.00,343.00,6440.00,142.00,199.00,2650.00,3778.00
FR,2020-04-26,A,18.00,3805.00,5.00,,,,,,,28.00,1101.00,,,,
FR,2020-04-26,B,241.00,8182.00,54.00,,,,,,,189.00,2549.00,,,,
FR,2020-04-26,C,195.00,4896.00,95.00,,,,,,,68.00,1252.00,,,,
FR,2020-04-26,D,74.00,1935.00,52.00,,,,,,,20.00,507.00,,,,
FR,2020-04-26,E,244.00,3578.00,202.00,,,,,,,38.00,1013.00,,,,
FR,2020-04-27,0,1374.00,26664.00,565.00,623.00,751.00,13893.00,12767.00,300.00,265.00,291.00,5282.00,133.00,157.00,2256.00,3018.00
FR,2020-04-27,A,28.00,3598.00,7.00,,,,,,,24.00,772.00,,,,
FR,2020-04-27,B,476.00,8990.00,71.00,,,,,,,154.00,2192.00,,,,
FR,2020-04-27,C,399.00,6251.00,119.00,,,,,,,66.00,1050.00,,,,
FR,2020-04-27,D,161.00,2938.00,111.00,,,,,,,20.00,452.00,,,,
FR,2020-04-27,E,310.00,4884.00,257.00,,,,,,,27.00,805.00,,,,
FR,2020-04-28,0,1521.00,24171.00,497.00,723.00,795.00,12408.00,11758.00,269.00,228.00,253.00,4770.00,115.00,138.00,1998.00,2753.00
FR,2020-04-28,A,28.00,3190.00,6.00,,,,,,,20.00,713.00,,,,
FR,2020-04-28,B,567.00,8537.00,61.00,,,,,,,143.00,1976.00,,,,
FR,2020-04-28,C,421.00,5551.00,122.00,,,,,,,48.00,970.00,,,,
FR,2020-04-28,D,153.00,2509.00,81.00,,,,,,,21.00,390.00,,,,
FR,2020-04-28,E,352.00,4384.00,227.00,,,,,,,19.00,706.00,,,,
FR,2020-04-29,0,1296.00,21319.00,412.00,589.00,705.00,11038.00,10275.00,230.00,182.00,295.00,5065.00,124.00,171.00,2075.00,2989.00
FR,2020-04-29,A,33.00,3162.00,6.00,,,,,,,22.00,813.00,,,,
FR,2020-04-29,B,456.00,7293.00,66.00,,,,,,,166.00,2038.00,,,,
FR,2020-04-29,C,360.00,4900.00,105.00,,,,,,,62.00,1013.00,,,,
FR,2020-04-29,D,120.00,2223.00,65.00,,,,,,,15.00,397.00,,,,
FR,2020-04-29,E,327.00,3740.00,170.00,,,,,,,27.00,795.00,,,,
